district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Central & Western,"Sacred Heart Canossian School, Private Section",/,http://www.shcsps.edu.hk,Private,AM,Girls,Catholicism,6500,Chinese,-,Sacred Heart Canossian College,-,Yes,Yes,19,1,1,1,"9 Rooms (Computer Room, Visual Arts Room, STEM Room, Multi-purpose Room, Activity Room, English Resources Room, Guidance Counselling Room, Student Sick Room and Parlour.)",Accessible lift and Accessible toilet.,-,29,90,100,24,14,38,10,52,4,3,2,3,3,3,18,4,3,3,2,3,3,18,2,2,No,2,2,No,No,7:40,AM,12:45,PM,"1. Actively develop team spirit and promote the inheritance culture in the school.<br>2. Cultivate students to learn independently, think critically and solve problems.<br>3. Provide students with opportunities for self-practice and encourage the courage to try.<br>4. Students know how to be grateful and cherish what they have; they are willing to live frugally, love life, and respond with loyalty.<br>5. Nurture positive values and attitude."
Central & Western,Kau Yan School,/,http://www.kauyan.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,5000,Chinese(incl.: Putonghua),-,-,About 30 places are reserved for our graduates from our affiliated Secondary School -United Christian College (KLN) yearly ,Yes,-,20,1,1,1,"Special Rooms, Roof Garden, Cookery Room, Steam Maker Room, 4,000 sq. ft. Integrated Arts Center, 6,000 sq. ft. Learning Centre (including Visual Arts facilities, 30,000 books & IT facilities).","Accessible lift and multiple sizes small group learning spaces, Student Counselling Room.",-,43,95,100,35,7,41,26,33,3,4,4,3,2,2,18,3,3,4,4,3,2,19,0,0,Yes,0,2,No,No,7:55,AM,3:00,PM,"We instill the beliefs in Learn to Love and Love to Learn to our students while disciplining them to be respectful and responsible by implementing Christian Education, Positive Education, STEAM education and Differentiated school-based curriculum and instructions. While emphasizing a happy learning process, we also pay attention to the quality of learning and performance."
Central & Western,St. Clare's Primary School,/,http://scps.edu.hk,Private,Whole Day,Girls,Catholicism,2509,Chinese & English,-,St. Clare's Girls' School,-,Yes,-,18,1,1,1,"Music room, Religious room, Counselling room, Conference room and Medical room.",Accessible lift.,-,31,90,100,25,0,45,25,30,3,3,3,3,3,3,18,3,3,3,3,3,3,18,2,2,No,2,2,No,No,7:50,AM,3:10,PM,1. To nurture students to be proud to be positive;<br>2. To develop students to be reflective learners.
Eastern,HKUGA Primary School,/,https://www.hkugaps.edu.hk,DSS,Whole Day,Co-ed,Not Applicable,4562,Chinese(incl.: Putonghua) and English,HKUGA College,-,-,Yes,-,24,2,2,1,"Multi-Media Language Centre, Computer Assisted Learning Room, General Studies Room, Visual Art Room, Music Room, Dance Room, Student Guidance Room, etc.","Accessible lift, Accessible toilet and Tactile guide path plan.",-,59,100,100,61,34,13,13,74,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,0,2,Yes,Yes,7:50,AM,3:15,PM,"""Start with Me, Star with Me"" is our 2024/25 school theme. Please refer to our school website."
Southern,St. Paul's Co-educational College Primary School,/,http://www.spccps.edu.hk,DSS,Whole Day,Co-ed,Protestantism / Christianity,16000,Chinese,St. Paul's Co-educational College,-,-,-,Yes,30,1,2,1,"Hall, Swimming Pool, Canteen, Laboratory, Fencing Room, Dancing Room, Innotech Room, Visual Arts Rooms, Music Rooms, Chapel, Table Tennis Room, Multi-purpose Hall.","Ramp, Accessible lift and Accessible toilet.",-,99,100,100,53,35,41,12,47,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,1. Guide St. Paul’s students to leverage their character strengths in cultivating self-love and perseverance.<br>2. Explore new educational technologies to enhance students' ability to manage their learning.
Southern,St. Stephen's College Preparatory School,/,http://www.sscps.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,20000,English,-,St. Stephen's College,-,-,Yes,30,1,4,1,"Music Rooms, VA Room, Computer Room, Campus TV Station, STEM Lab, Prayer Room, Music Instrument Practice Rooms, Multi-purpose Activity Rooms etc.","Ramp, Accessible lift and Accessible toilet.",-,57,100,100,57,0,41,13,46,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,No,0,2,No,No,8:10,AM,3:20,PM,The school cultivates sound virtues and a positive mindset by providing a whole-person education that focuses on developing and utilising every student's potential.
Wan Chai,Raimondi College Primary Section,/,http://rcps.raimondi.edu.hk,Private,Whole Day,Co-ed,Catholicism,8118,Chinese(incl.: Putonghua) and English,-,Raimondi College,-,Yes,Yes,27,1,2,1,"Music rooms, Student Guidance room, Prayer room, Visual Arts room, General Studies room, Gifted Education Learning Centre, Information Technology Learning Centre, Campus TV, English activities room and Multi-purpose room.","Accessible lift, Accessible toilet and Tactile guide path plan.",-,53,89,96,23,0,41,13,46,5,4,4,5,4,4,26,4,5,4,4,5,4,26,0,0,Yes,2,2,No,No,8:10,AM,3:00,PM,"1. Use different teaching strategies and promote self-directed learning.  <br>2. Use the five Catholic core values as a foundation, in conjunction with the ten priority values and attitudes, to nurture students' values and attitudes toward life."
Wan Chai,"The True Light School of Hong Kong, Primary and Kindergarten Section",/,http://www.tlmshkps.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,30000,Chinese(incl.: Putonghua) and English,-,-,The True Light School of Hong Kong,Yes,Yes,28,1,1,1,"Indoor Swimming Pool, Student Activity Room, Computer Room, Music Rooms, Library, Gymnasium, Sports Ground, Archery Venue, Parents' Room, Campus TV.",,-,40,100,100,35,0,42,12,46,4,4,5,3,3,3,22,4,4,4,5,3,3,23,2,2,Yes,2,2,No,No,8:00,AM,3:30,PM,"Develop and promote students' higher order thinking skills, positive value education and speaking skills and attitude."
Wan Chai,St. Paul's Convent School (Primary Section),/,http://www.spcspr.edu.hk,Private,Whole Day,Girls,Catholicism,8826,English,-,St. Paul's Convent School,-,Yes,-,30,1,2,1,"Rooms for Music, G.S., R.E., Language, Art, Reading, Mathematics, Computer, Conference, Guest, Sick, Staff, Dance.","Ramp, Accessible lift and Accessible public information / service counter.",-,63,83,86,41,14,7,22,71,5,5,5,5,5,5,30,5,5,5,5,5,5,30,2,2,Yes,2,2,No,No,8:30,AM,3:00,PM,All things to all people.
